unique location,lat,long
Tampines Street 11 ,1.3455541,103.9469361
Tai Keng Gdns,1.3472032,103.8849541
Farrer Dr ,1.3147724,103.8065877
Seletar Nth Lk,1.4244523,103.8843781
S'goon Gdn Dr,1.365551,103.866409
Siglap Hill ,1.3201952,103.9180629
Jln Ampas,1.326441,103.8515942
Jln Tarum ,1.3738957,103.8315861
Ang Mo KioAve 4 ,1.3763427,103.8394465
Jurong West St 75 ,1.3480635,103.6998901
Lor 31 Geylang ,1.3149521,103.8869017
"Lor 5, 6 RealtyPk",1.3336887,103.8531666
"Senoko Cres, Dr,Rd",1.4625659,103.8063107
Everitt Rd Nth ,1.3151505,103.9016836
Pasir Ris Gr ,1.371058,103.9452663
Verde Place,1.3918652,103.7520753
Woodlands Ave 6,1.4387944,103.8030299
Sirat Rd,1.3576851,103.8762291
Jln Redop,1.3854123,103.8706659
Chu Yen St,1.3584215,103.7587918
Jln Joran,1.3853739,103.8693914
Woodlands Ave 1 ,1.4314714,103.7851183
Sungei Kadut St 1,1.4184183,103.7509816
 Jurong Lake Lk ,1.3418479,103.7281926
"Eng Kong Cres, Gdn, Ter",1.3354922,103.7690988
Usaha ,1.3454324,103.883258
Sunbird Circle,1.3391852,103.9576992
Parbury Ave,1.3176655,103.9429496
"Ubi Ave 1,Cres, Rd 1",1.3269703,103.9014436
Ang Mo Kio Ctrl 3 ,1.3752115,103.8471299
Eunos Cres ,1.3215095,103.9037357
Kg Ampat ,1.3344742,103.8830791
Jelapang Rd ,1.3858976,103.7672889
How Sun Close Quemoy Rd ,1.3443307,103.8810911
Bishan St 15,1.3519257,103.8510558
Bt Batok West Ave 2 ,1.3578222,103.7472428
Jln Terang Bulan,1.3222868,103.9244546
"Mei Hwan Dr, Rd",1.3538357,103.8604674
Simei St 1 ,1.3455308,103.9543763
Macpherson Rd ,1.3312078,103.8789855
Mt Faber Rd ,1.2712241,103.81971
"Lor 20, 22 Geylang",1.3120355,103.8812723
Bedok Nth St 5,1.336137,103.946789
Lor Biawak ,1.3477502,103.8701778
Jln Baiduri,1.3115093,103.912685
Jln Rajawali ,1.3435129,103.7684682
"Duku Ln, Pl ",1.3098494,103.9068991
"Eastwood Dr, Green, Pl, Rd, Ter, Walk, Way ",1.3233243,103.9557363
Woodlands St 32 ,1.4309577,103.7801525
McNair Rd ,1.3200278,103.8585331
Circuit Lk ,1.3260599,103.8893455
S'goon Gdns Dr ,1.365551,103.866409
Yishun Ave 9 ,1.4339149,103.841806
Woodlands Dr 42 ,1.4369726,103.7969314
Jln Awang ,1.3237484,103.9058694
Jurong West St 41 ,1.3482954,103.7232588
Bt Batok Ctrl Lk ,1.3500335,103.7491716
Eden Gr ,1.3448654,103.8717514
Punggol Walk,1.4052938,103.9005026
Sommerville Walk ,1.3444279,103.8699947
Whampoa Dr,1.3235847,103.8565156
"Westwood Ave, Dr, Walk",1.3511997,103.6990227
East Coast Ter,1.3109327,103.9226997
Loyang View,1.3635751,103.9666114
Jln Arif ,1.3673707,103.8833896
Bristol Rd ,1.31293,103.8489227
Fajar Rd ,1.3841157,103.7701699
Dover Cres ,1.3054241,103.782673
Siang Kuang Ave,1.3296533,103.8720674
Jurong East St 24 ,1.34344,103.7401204
GeylangRd ,1.3134257,103.8837629
Jln Lembah Thomson,1.3526332,103.8326536
Loyang Besar Cl,1.3780874,103.9583704
Choa Chu Kang Loop ,1.3845841,103.7454465
Blair Rd ,1.2764087,103.8364453
JlnTeck Whye ,1.3799998,103.7576493
Jln Pelajau ,1.385876,103.8715258
Tanah Merah Kechil Lk,1.3295629,103.9461517
S'goon Ave 1,1.34569,103.877541
Vaughan Rd 3,1.3468243,103.8709007
Commonwealth Cres ,1.3076629,103.7996916
Jurong West Central 1 ,1.342604,103.7054434
GeyLang Rd ,1.3134257,103.8837629
Choa Chu Kang Loop,1.3845841,103.7454465
"Bedok Cl, Rise, Ter ",1.326285,103.9496499
Chuan View ,1.3618776,103.8668739
Sengkang East Way ,1.3931879,103.8939383
Choa Chu Kang Cres ,1.4032103,103.7484734
Choa Chu Kang Cres,1.4032103,103.7484734
Bukit Batok St 32 ,1.3626863,103.7484007
Tampines Ave 2 ,1.3495895,103.9497808
